participant_id	age	gender	handedness	vision	colour_vision	english_first_language
sub-01	22	F	R	N	N	N
sub-02	20	NB	R	N	N	Y
sub-03	19	F	R	C	N	N
sub-04	23	F	R	C	N	N
sub-05	21	F	R	C	N	N
sub-06	18	M	R	N	N	Y
sub-07	22	M	R	C	N	N
sub-08	19	F	R	N	N	Y
sub-09	20	F	R	C	N	Y
sub-10	21	F	R	C	N	Y
sub-11	33	F	R	C	N	Y
sub-12	18	F	R	N	N	Y
sub-13	22	F	R	C	N	N
sub-14	27	F	R	C	N	N
sub-15	22	M	R	C	N	N
sub-16	21	M	R	C	N	N
sub-17	19	F	R	C	N	Y
sub-18	18	F	L	N	N	Y
sub-19	18	F	R	C	N	N
sub-20	34	F	R	N	N	Y
